"lowAge","highAge","isSmiling","eyeGlasses","sunGlasses","gender","beard","mustache","eyesOpen","mouthOpen","roll","pitch","yaw","id","url","emotions"
20,38,false,false,false,"Male",false,false,true,false,6.382592678070068,-57.14981460571289,-4.549936771392822,"87c9f34f-bc80-449e-ab34-7a1facc19f31","https://s3.amazonaws.com/face-angle-images/87c9f34f-bc80-449e-ab34-7a1facc19f31.jpg","|CALM"
26,43,false,false,false,"Male",false,false,true,false,-8.300460815429688,-49.97733688354492,41.71611022949219,"b0b1539a-cce5-4fc8-a72f-e53098dfc82f","https://s3.amazonaws.com/face-angle-images/b0b1539a-cce5-4fc8-a72f-e53098dfc82f.jpg",""
35,52,false,false,false,"Male",false,false,true,false,7.3372392654418945,-21.246061325073242,11.255404472351074,"0dda6ee7-f89b-48c5-ba85-9a812eeaea5d","https://s3.amazonaws.com/face-angle-images/0dda6ee7-f89b-48c5-ba85-9a812eeaea5d.jpg",""
26,43,false,false,false,"Male",false,false,true,false,-9.133651733398438,-45.690284729003906,44.16933059692383,"db59c4b9-4b48-4d54-adf1-ba0f91b3c212","https://s3.amazonaws.com/face-angle-images/db59c4b9-4b48-4d54-adf1-ba0f91b3c212.jpg",""
35,52,false,false,false,"Male",false,false,true,false,8.83016586303711,-18.864469528198242,26.172788619995117,"b51ff760-42b1-4352-b90f-8ea2b40cc845","https://s3.amazonaws.com/face-angle-images/b51ff760-42b1-4352-b90f-8ea2b40cc845.jpg",""
35,52,false,true,false,"Male",false,false,true,false,-0.8946558237075806,-19.902690887451172,-8.606464385986328,"22d6674b-cb77-4dd3-bb58-e2a0cd8c9d53","https://s3.amazonaws.com/face-angle-images/22d6674b-cb77-4dd3-bb58-e2a0cd8c9d53.jpg","|CALM"
35,52,false,false,false,"Male",false,false,true,false,-0.38746628165245056,-50.83372116088867,25.54758071899414,"fff07cd8-81f1-411d-9511-4ba0ab53cf27","https://s3.amazonaws.com/face-angle-images/fff07cd8-81f1-411d-9511-4ba0ab53cf27.jpg","|CALM"
35,52,false,false,false,"Male",false,false,true,false,7.0687665939331055,-30.458131790161133,38.29630661010742,"24b785cd-8ce1-4c4b-ad0f-104d98e3b953","https://s3.amazonaws.com/face-angle-images/24b785cd-8ce1-4c4b-ad0f-104d98e3b953.jpg",""
35,52,false,false,false,"Male",false,false,true,false,-2.0108752250671387,-55.20671844482422,29.857938766479492,"3032ef49-fe43-447d-9b95-5d130aca1ecf","https://s3.amazonaws.com/face-angle-images/3032ef49-fe43-447d-9b95-5d130aca1ecf.jpg","|CALM"
10,15,false,false,false,"Male",false,false,true,false,8.577305793762207,-72.30177307128906,-5.946652889251709,"d92b9c0c-f07d-4474-bb74-6f66750210ab","https://s3.amazonaws.com/face-angle-images/d92b9c0c-f07d-4474-bb74-6f66750210ab.jpg",""
20,38,false,true,true,"Male",false,false,true,false,-5.634594440460205,33.732086181640625,14.545083999633789,"a8d9444c-26e5-4d0e-941c-a371c3ef4d40","https://s3.amazonaws.com/face-angle-images/a8d9444c-26e5-4d0e-941c-a371c3ef4d40.jpg",""
38,59,false,true,true,"Male",false,false,true,false,-1.312421441078186,24.21328353881836,34.21922302246094,"2090231f-78e5-408c-9caa-a8a2a86cb7fb","https://s3.amazonaws.com/face-angle-images/2090231f-78e5-408c-9caa-a8a2a86cb7fb.jpg",""
35,52,false,false,false,"Male",false,false,true,false,-3.8480679988861084,-22.48476791381836,-43.305606842041016,"fd6827d1-f73d-4724-96b4-ae2ea1c885ad","https://s3.amazonaws.com/face-angle-images/fd6827d1-f73d-4724-96b4-ae2ea1c885ad.jpg","|CALM"
35,52,false,false,false,"Male",false,false,true,false,4.004065036773682,-36.18024826049805,-43.318565368652344,"05d2d73c-996c-40d1-989a-ed7091ea3377","https://s3.amazonaws.com/face-angle-images/05d2d73c-996c-40d1-989a-ed7091ea3377.jpg","|CALM"
26,43,false,false,false,"Male",false,false,true,false,-5.430580139160156,-24.734310150146484,-46.5347785949707,"94001022-5a5f-4ad7-b9a0-373ccce12b5d","https://s3.amazonaws.com/face-angle-images/94001022-5a5f-4ad7-b9a0-373ccce12b5d.jpg","|CALM"
